"TIV of arms exports from USSR, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,South Yemen,,,,,,,,,,,,,,,,,,5,5,49,18,42,109,82,66,12,,5,45,1281,1153,376,40,96,68,48,224,38,12,38,,,,,,,,,,,,,,,,,,3812
,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,14,,,,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,32
,Sudan,,,,,,,,,,,1,,,,,,1,1,,61,529,127,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,726
,Syria,,,,,,71,86,387,123,35,32,11,13,54,,20,430,833,989,968,564,562,1357,3362,3807,1357,454,849,791,1660,1850,1360,1829,2372,1861,1609,1136,1295,1258,623,655,19,,,,,,,,,,,,,,,,34682
,Tanzania,,,,,,,,,,,,,,,,1,1,1,,,,,1,1,177,,,15,42,201,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,460
,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,,,,,,,,,,,,,,,,,,,6
,Uganda,,,,,,,,,,,,,,,,,,,0,0,0,,,4,32,105,31,5,,,,,,,,,,14,,,,,,,,,,,,,,,,,,,,191
,Viet Nam,,,,,10,15,5,2,3,3,21,80,65,89,193,572,1048,1167,1008,776,989,985,1159,742,361,307,30,30,623,1600,885,940,467,815,402,,50,18,18,86,86,,,,,,,,,,,,,,,,,15650
,Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,76,79,,,,,,,,,,,,,,,,155
,Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,48,2,,,4,126,192,44,,15,,,,,,,,,,,,,,,,,,,,,,,431
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,3239,3109,6151,8456,9485,6826,6982,7578,9123,8150,5935,6994,8205,6833,8596,8536,10193,11373,11789,10962,10674,11785,13745,14745,14972,10905,9855,15530,17789,18251,18350,17256,16340,13920,13771,14597,15066,13867,12776,12818,9980,5334,9,0,9,9,0,0,0,0,0,0,0,0,0,0,0,
