"TIV of arms exports from China, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Tanzania,,,,,,,,,,,,,,,,,,,,,9,50,50,127,6,48,,7,7,7,,114,6,,,,,,,,,,20,,3,,,,,,,,,46,,,,500
,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,,134,107,64,3,114,195,,258,258,140,,,,28,,,,,11,11,1335
,Tunisia,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,,,,,,,,,,,,,,,,,23,,,,,,,,,,,,,43
,Turkey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,6,6,,,,,,,18
,UAE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,,,,,,,,,,,,,14
,Venezuela,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14
,Viet Nam,,,,,,,,30,,,,,,,42,23,52,12,112,72,220,357,325,12,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1261
,Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,153,,,,,,,,,,,,153
,Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,35,35,,,,,12,,,,,,,,,,,,,5,,,,19,,,,,,12,118
,Zimbabwe,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,,12,147,16,,,,21,,,,,,,,,,,,,,14,14,232
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,0,0,8,16,19,16,51,30,476,374,303,35,52,6,56,351,607,344,573,446,740,1299,1271,696,608,561,584,231,637,597,972,706,1588,1901,2149,1411,2130,3421,2103,1037,938,1125,622,1342,1018,1019,781,460,401,300,230,499,544,553,271,223,564,
