"TIV of arms exports from USA, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Guatemala,,6,,,2,8,6,,,,9,,1,6,8,4,,1,16,1,,32,1,0,7,23,3,,,,1,36,12,0,6,0,1,0,0,0,0,0,,10,3,3,,,,,,,,,,,,206
,Guatemala/Armas,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8
,Guinea,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Guyana,,,,,,,,,,,,,,,,,,,0,,,,,,,0,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
,Haiti,4,,3,,,0,0,,,,0,,,,2,,,,,2,,,,2,6,1,1,0,9,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,30
,Haiti/rebels,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
,Honduras,,1,1,,2,,9,1,17,1,,,14,,,1,2,,,2,,,,1,,21,6,11,,9,12,13,27,8,13,4,54,12,36,16,,,,,,,,,,,,,,,,,,294
,Hungary,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37,37
,India,,1,67,,42,147,4,3,,,3,80,1,75,,,,,,,,1,1,,,,,,,,,,,,,,4,3,41,3,4,4,14,4,4,4,4,4,3,6,3,,3,3,3,3,81,623
,Indonesia,1,1,1,6,0,1,,12,31,31,167,184,13,4,,1,7,1,5,1,20,85,6,40,63,,64,42,81,51,305,85,142,115,25,13,34,9,69,105,147,2,,4,4,4,24,22,10,30,4,4,6,6,6,2,,2096
,Indonesia/rebels,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,Iran,4,6,0,1,81,115,126,52,65,45,11,98,96,120,130,182,430,164,774,1145,1062,1112,573,1277,2238,5358,3653,5185,1925,240,,,,,,9,97,,,,,,,,,,,,,,,,,,,,,26374
,Iraq,,,,,,,21,4,4,,,,,,,,,,,,,,,,,,,,,,,,,27,,9,9,30,125,,,,,,,,,,,,,,,,3,34,26,292
,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,3,,3,,,,,,13,,,,,,,,4,,,,,,,,,,,,1,27
,Israel,2,1,4,5,0,0,3,10,3,17,,12,43,4,115,164,130,169,382,1054,1154,1142,746,2382,1212,988,1617,977,1261,672,1225,1591,865,476,278,297,1167,1094,582,25,71,1214,1293,723,847,304,65,42,1351,737,85,109,282,84,836,1083,985,31980
,Italy,138,203,361,665,258,454,1058,829,339,503,440,338,457,864,974,670,386,70,132,403,446,566,1215,565,567,553,408,476,475,411,228,91,169,276,170,108,112,68,87,42,47,118,91,176,160,96,164,296,4,,225,252,148,495,412,59,31,19349
,Jamaica,,,,,,,,,,,,,,0,0,,,,,,,2,,,7,15,1,1,2,,,0,,,,,2,,,4,,,,,,,,,4,,,,,,,,,38
,Japan,,,1,217,231,394,685,984,1028,684,739,390,235,372,1660,1078,288,518,417,358,456,525,562,525,870,1497,1503,851,688,637,710,1000,1392,1602,1911,1816,1692,1803,1799,2090,2574,2896,2381,2033,977,1157,773,827,1484,1268,401,462,395,426,384,290,350,53286
,Jordan,,,,,,,,,0,,,,,1,,15,70,69,27,114,126,58,45,29,38,284,276,440,566,261,400,149,251,103,249,170,,14,8,5,10,,,1,5,19,76,84,271,6,21,25,3,85,115,3,41,4533
,Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,,,19
,Kenya,,,,,,,,,,,,,,,,,,,1,,0,,,1,,,,40,97,5,26,45,23,,,6,,,,,4,4,,,,,,,,,,,,,,,,252
,Kuwait,,,,,,,,,,,,,,,,,,,,,,58,,,2,4,16,319,325,7,24,,,136,44,62,42,14,8,,13,42,897,670,24,376,976,313,15,,,,,29,,14,107,4537
,Laos,,,,,,,2,1,10,0,3,4,10,8,5,5,10,8,3,5,26,1,10,31,22,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,165
,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,,,,14
,Lebanon,,,,,,,,,23,,,,9,9,,,,,,,,4,4,,,1,1,,,,3,2,13,57,53,29,,,,,,,,,12,34,20,6,5,4,4,,,,,1,,294
,Lesotho,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,,,,4,,,,,,,,,4
,Liberia,,,,,,,,,,1,,,,,2,,,5,,,,0,1,,,,2,,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,15
,Libya,,,,,,,,,,0,,,,3,9,9,2,,40,40,224,,,,,2,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,329
,Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,14,15
,Luxembourg,,,0,0,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,1,,,,,,,,,,,,,,4,,,1,,,,1,,,,8
,Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,4,0,,,,,,8
,Madagascar,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,7
,Malaysia,,,,,,,,,,,,1,,,,,,,60,,,59,6,6,18,81,268,48,62,58,86,53,,22,12,143,101,,,,,29,,,58,183,,347,,11,,,9,32,11,2,12,1778
,Mali,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,3,,,,,,,,,10
,Mauritania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15,,,,,,,,,,,,,,,,,3,,,,,,,,,18
,Mauritius,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Mexico,,25,,6,,,,,6,13,5,19,107,60,7,,20,14,0,,84,45,9,151,18,22,7,18,51,,,80,236,4,,,5,103,66,63,23,14,1,170,62,,40,261,19,26,115,135,44,15,45,8,18,2240
,Morocco,,,,,,,,,,,,,17,,0,27,130,103,5,,,1,,,105,90,40,178,155,205,35,362,74,109,,,18,2,35,55,20,43,14,86,117,,26,31,,8,3,,,,,,,2094
,Myanmar (Burma),,,,,,,,4,,17,8,21,9,14,2,10,9,12,5,,,22,3,,,21,,,15,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,175
,Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,4
