"TIV of arms exports from France, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Iceland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,3
,India,,,,142,66,,,262,232,,,72,20,31,31,8,25,7,75,43,63,40,33,39,43,42,36,36,36,38,38,47,48,48,75,498,479,165,160,85,89,78,62,61,57,53,51,49,49,49,49,30,16,20,142,96,13,4027
,Indonesia,,,,,,,,,,,,50,83,55,5,,9,,,5,,,,,,,,,48,48,103,125,28,24,19,7,7,7,,,,,,,,,7,15,6,,8,15,16,5,65,7,20,787
,Iran,,,,,,,,,,,,,,,,,10,10,10,10,50,198,8,8,8,8,,97,340,,,146,,,,,,,,,,,,,,,2,,,,,,,,,,,905
,Iraq,,,,,,,,,,,,,,,,,,14,12,6,34,20,3,5,5,47,141,132,26,81,278,696,633,716,895,645,188,147,267,58,262,,,,,,,,,,,,,,,,,5311
,Ireland,,,,4,,,,,,,,,,2,1,,,,,,7,,3,3,1,7,3,,,5,7,7,,,,,16,,,,,,,,0,,,,0,,0,,,,,,,66
,Israel,3,54,35,64,43,96,445,3,12,161,251,49,103,276,267,237,130,,41,23,23,23,11,,,,,,,,,4,4,,,,,,,,,4,,,4,4,15,23,19,,,,,,,,,2427
,Italy,,,,,,,,,,17,9,9,30,38,33,18,10,,,,,162,162,162,,,,,,,,,5,5,5,5,10,10,10,10,10,8,8,8,8,8,8,10,13,13,12,10,10,9,1,,,846
,Jamaica,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,5
,Japan,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,7,14,7,,7,7,7,,7,,7,36,7,,7,5,5,5,4,4,3,3,9,8,1,3,8,1,1,184
,Jordan,,,,,,,,,,,,,,,,5,5,5,,,,,,,,,,,,,,135,409,156,5,,,27,54,29,,,,,,,,,,,,,,,,,,830
,Kenya,,,,,,,,,,,,,,,,,,2,,,,5,,,1,,12,14,,,4,,,,,,,27,,23,3,3,3,,,,,,,,,,,,,,,97
,Kuwait,,,,,,,,,,,,,,,,,,,7,,,,,,3,94,239,194,,,6,6,34,20,139,237,52,27,,,4,13,,,,,,2,13,176,170,,,,,7,,1443
,Laos,,,,,1,1,,,,1,,,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
,Lebanon,,,,,,,,42,,,,3,0,5,,11,67,82,1,,,1,34,26,17,2,2,,2,,14,6,12,,65,11,,,,,,,,,,,,,,,,,,,,,,403
,Libya,,,,,,,,,,,,,2,,,,,,,4,,381,397,378,382,7,4,27,69,641,44,66,357,102,51,,,,,,,,,,,,,,,,,,,,,,,2912
,Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,2
,Madagascar,,,,,,,,,,,,3,,2,0,7,,12,,1,,,,,14,1,,,,,,,,,,2,,,,,,,,,,,2,,,,,,,,,,,44
,Malawi,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,7,6,,,,,1,4,,,,1,2,,,,,,,,,,,,,,,,,27
,Malaysia,,,,,,,,,,,,,,7,5,,7,,,5,,,58,182,29,,,,,34,,,,,27,5,,5,,,,,,,,,22,1,5,15,1,,,14,4,,,426
,Mali,,,,,,,,,,,,,,,,,1,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
,Mauritania,,,,,,,,,,,2,1,1,6,1,1,,,,,,1,,,9,9,1,,1,4,,,12,,,,,,,0,,,,,27,,,,,,,,,,,,,76
,Mauritius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,1,,,,,,,,,,3
,Mexico,,,,,,,,,,,,,,,,8,,,,,,,3,2,,,,,,30,,16,19,,,3,67,,10,,,,3,3,,,,,,,,,,,,7,,171
,Morocco,,,,,,,30,13,11,13,18,11,16,11,17,27,17,27,36,6,43,,,5,69,60,87,117,272,546,262,169,190,79,38,23,12,32,20,,10,19,17,,,30,60,87,,,,5,157,7,,7,,2676
,Myanmar (Burma),,,,,,,,,,,,4,,3,4,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14
,Nepal,,,,,,,,,,,,,,,,,,,,,,4,,,,6,6,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,18
,Netherlands,,,,,,,2,2,2,6,28,130,129,31,19,43,23,18,9,56,81,81,27,,,,,,2,2,,,,,13,13,,,,,8,,8,8,8,,61,55,,2,2,,,,,,,869
,New Zealand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,5,,,,,,,,13
,Nicaragua,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,2
,Niger,,,,,,,,,,,1,1,,,1,1,,,,2,,1,,,,,,,,,4,,6,13,,,1,,,,,,,25,,,,,,,,,,,,,,56
,Nigeria,,,,,,,,,,,,,,,,3,,,5,,,,,,,,12,24,54,,15,15,233,,81,90,10,,,14,3,,,,4,,,,,,,,,,,,,563
,Nigeria/Biafra,,,,,,,,,,,,,,,,,,1,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Norway,,,,,,,,2,2,2,4,4,4,,,,21,18,6,,,,,18,,,,,,,,,,1,,,,,,,,,5,8,8,10,28,30,25,,,12,,,,,17,225
,Oman,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,23,23,24,13,5,,,21,,,,,,40,65,49,1,,,2,6,8,3,,,287
,Pakistan,,,,,,,,,,,,,,,,,3,3,279,3,185,168,172,4,4,82,88,176,124,359,294,117,139,44,,11,18,5,30,0,0,0,60,5,5,3,60,5,117,330,91,86,42,282,37,20,29,3480
,Peru,,,,,,,31,,,,4,,,4,,,,,184,55,,,,11,155,4,125,11,,11,240,251,,,54,167,242,116,,3,,,6,,,,0,4,8,,,,,,,,,1686
,Portugal,,,,,15,30,15,50,22,8,31,46,6,9,9,11,15,181,256,296,30,15,15,15,26,55,5,,,,,,,,,6,2,,,1,7,16,,,,,,,,1,0,1,,,4,4,,1203
,Qatar,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,16,,52,45,110,262,245,138,,40,37,10,5,5,43,11,10,11,39,227,315,68,12,12,12,12,,,,1792
,Romania,,,,,,,,,,,,,,,,,,,,,,,3,5,7,7,7,7,37,37,37,44,62,68,66,66,59,59,47,35,30,18,12,12,7,,,,,,,,,6,6,,,744
,Rwanda,,,,,,,,,,,,,5,,,,,,,,1,,,4,,2,,,,,,,,3,2,3,1,,2,,,,,,,,,,,,,,,,,,,23
,Saudi Arabia,,,,,,,,,,,,,,,,,2,4,5,46,46,,,,,66,162,153,173,240,392,372,257,94,189,911,892,281,283,145,250,187,83,35,,,,5,29,34,27,7,382,36,780,1,,6569
,Senegal,,,,,,,,,,,0,7,,,4,0,1,,1,19,,13,,1,14,,17,24,2,0,,,,32,4,,6,,,,,,,,1,2,,,,,,,,,,,,148
,Serbia & Mont.,,,,,,,15,33,,,11,,,,,,,,,,,,17,2,6,13,14,14,14,14,14,14,22,13,14,14,14,14,18,2,1,,,,,,,,,,,,,,,,,293
,Seychelles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
,Sierra Leone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,3
,Singapore,,,,,,,,,,,,,,,,,,,,4,4,,,,,,,,,,9,,3,9,,34,47,47,20,,56,27,45,53,35,20,30,19,,14,16,0,,,,,4,496
,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14,14,,,28
,Somalia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,10
,South Africa,,,,,,,,,,,3,,44,197,123,93,187,129,104,83,411,178,117,182,82,275,489,416,,,,,,1,1,,,,,3,,,,,,,,,2,4,4,5,4,2,2,22,29,3192
,South Korea,,,,,,,,,,,,,,,,,,,,,,,8,,,2,3,3,6,4,8,4,4,,8,,8,1,,,4,,,20,20,20,20,30,129,129,80,80,80,87,80,27,160,1025
,South Vietnam,,,,0,39,49,48,4,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,141
,Spain,,,,,,,,,,1,,,,,,,25,25,,,,168,194,119,36,411,71,47,232,297,315,250,277,424,60,175,195,20,90,175,124,,15,15,30,37,15,9,20,25,30,26,67,,3,16,,4039
,Sri Lanka,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,5,2,,,,,,,,,,,,,14
,Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,7,,2,,,0,,,,,,,,,,,,,,,,,,,,,9
,Sweden,,,,63,75,63,22,25,27,25,4,4,11,8,4,3,57,65,67,15,9,,,,,,,,,,,,,,,3,,,27,27,29,3,2,,7,7,,,,0,0,,,,,,,652
,Switzerland,,,,,,100,100,,0,6,10,4,4,35,43,,133,122,122,122,79,,25,33,6,,,,,,,,,22,,,,14,7,,,7,68,7,,,,,,,14,54,41,,,,,1178
,Syria,11,,,,,,,,,,,,,,,,,,,,,,,,,,27,43,68,34,10,10,,,,,,,,,,,,,,,,,,,,,,,,,,203
,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,665,1956,1927,,,,,,5,50,,4608
,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,4,20,12,,,15,54,54,0,26,26,,,,,,,,8,4,,,,,,,,,,231
,Togo,,,,,,,,,,,1,,,,0,0,,,1,,1,2,,,,10,29,,5,,30,21,,,,,4,0,0,,,10,,,,,,,,,,,,,,,,114
,Trinidad & Tobago,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
,Tunisia,,,,,,,,11,,9,32,,,4,4,,,,5,,47,,,4,6,13,,4,2,27,,11,38,,9,245,,0,,,4,,,,,,,0,,1,,,,,,,,476
,Turkey,,,,,,,,,,,,,,,,,6,6,11,6,11,11,20,6,,,,2,,,,,11,12,,,,,1,25,1,1,1,25,50,119,118,41,129,183,167,144,195,14,,,,1316
,UAE,,,,,,,,,,,,,,,,,,,,,,,23,81,93,134,141,168,114,10,65,101,82,27,38,12,,,,505,316,91,,25,45,111,232,263,263,273,163,156,188,624,880,945,970,7139
,UK,,,,,,,,11,6,5,,,4,14,33,52,52,38,38,79,60,60,90,30,30,30,30,35,15,46,93,21,45,45,15,15,15,15,15,10,,,,,,,4,11,23,,,,,,,,,1085
,United Nations,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
,Unknown country,,,,,,,,,,20,20,20,20,20,20,20,20,20,20,20,20,20,20,10,10,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,305
,Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,,,,1,,,,30,30,42,12,,,,,,,,,,,,,,,154
,USA,,,,,,,,,,,30,30,100,220,230,230,170,100,100,100,40,,,,,,,89,89,97,89,,,,10,72,72,72,72,33,,,,,30,,,,,,,,,,,0,3,2078
,Venezuela,,,,,46,,,,,,,,,,2,,,9,10,,,,4,173,174,2,4,13,2,4,,3,,,,31,31,0,,98,101,94,35,25,,,,,,27,27,,,,4,4,,923
,Yemen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,2
,Zimbabwe,,,,,,,,,,,,,2,5,,,,,,,,,,,,12,,2,,,,,,,,,,0,2,,,,,,,,,,,3,,,,,,,,26
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,14,55,36,274,328,424,835,601,644,729,1074,1005,1082,1251,1437,1249,1700,1572,1821,1267,1686,2197,2393,2644,1933,2390,2221,2791,3189,3176,3434,3503,3632,3054,2894,3793,2947,1708,1773,2067,1610,967,1011,796,735,796,1766,3081,3340,1787,1029,1202,1314,1285,2691,2052,1558,
