"TIV of arms exports from Italy, 1950-2006"
"Generated: 02 November 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Sudan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,12,,,,12,12,,,,,,,,,,,,,,,,,,,48
,Sweden,,,,,,,,,,,,,13,19,9,,,,,,15,8,,,,,,,,,,,,,,,,,10,10,,1,,4,17,,,,,,,,,,,,10,116
,Syria,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29
,Taiwan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,,,5,,,,75,75,80,5,,,,,,,,,,,,,,,,,,245
,Tanzania,,,,,,,,,,,,,,,,,,,,,,,,0,,,,1,,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,11
,Thailand,,,,,,,,,,,,,,,,,,,,,,,,1,1,,5,,,94,47,,1,112,55,,12,71,79,18,,,11,,,64,,,,110,,,3,,,12,12,708
,Tunisia,,,,,,,,,,,,,,,,15,,,,,,0,,,,3,,29,2,13,46,,,,,,,,,,,4,,,,,,,,,,11,,,,,,123
,Turkey,,,,,,,,,,,,,,,5,28,9,37,27,13,13,22,28,34,22,257,148,166,3,3,3,,,,52,51,3,55,68,17,1,1,4,4,7,27,40,38,13,5,14,13,13,13,,35,30,1322
,UAE,,,,,,,,,,,,,,,,,,,3,,,,,,0,,16,5,5,5,10,37,96,15,29,22,2,20,5,13,8,8,9,4,4,13,,,,,,,,,,,,329
,Uganda,,,,,,,,,,,,,,,,,,,,,,,,13,,,,,,,,,,,,9,,,1,17,,,,,,,,,,,,,,,,,,40
,UK,,,,,,,,,,,,5,5,5,12,12,12,12,12,12,,,,5,9,9,9,5,,,,,,,,,,4,,,,,,,,,,,200,,,,,,0,0,6,334
,Uruguay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,3
,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,,3,13,25,25,30,28,125,10,13,10,10,12,61,56,54,54,109,163,163,54,54,8,13,,,5,,,1103
,USSR,33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33
,Venezuela,,,,,,,135,135,,,,,,,,,,,10,,,,,10,15,50,,,,15,335,822,547,24,63,79,10,10,19,2,8,30,10,14,,,,,,,19,1,1,,,,,2364
,Zambia,,,,,,,,,,,,,,,,,,,,7,2,18,19,15,,,15,1,1,,6,18,,,,,,,,,,,,,,,,,,,,,,,,,,102
,Zimbabwe,,,,,,,,,,,,,,,,,,5,,,,,,,3,,,,,,,,,9,,,43,,,,,,,,,,,,1,,,,,,,,,61
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,127,106,23,0,7,130,232,251,208,4,101,303,407,447,768,660,444,201,143,332,248,469,422,418,489,803,759,753,808,1527,1563,1697,1796,1207,1443,992,429,737,499,383,358,522,453,466,310,367,437,443,421,512,202,228,408,325,226,797,880,
