"TIV of arms exports from all, 1950-2006"
"Generated: 29 October 2007"
"Source: SIPRI Arms Transfers Database"
"For more information, see"
"http://www.sipri.org/contents/armstrad/output_types_TIV.html",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,1950,1951,1952,1953,1954,1955,1956,1957,1958,1959,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,Total
,Thailand,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,5,,,10
,Turkey,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,6,,,,,,,,,,,,,,,,0,3,35,15,2,23,38,10,47,45,236
,UAE,,,,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,14,,,,1,,,2,,,,,27,4,32,,,,,,,2,25,7,122
,UK,1645,2138,2068,2664,3122,4060,5246,4313,3224,2489,1812,1035,1144,724,973,1367,1450,2126,1475,1843,824,2080,2116,2446,2064,1922,1991,1977,1724,1278,1513,2257,2407,2361,2464,2059,1948,2222,1175,2109,1844,1447,1121,1446,1496,1402,1634,2393,1211,1129,1356,1116,742,680,1083,912,1063,105930
,Ukraine,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,217,222,258,215,136,566,655,760,280,649,210,456,427,308,133,5492
,United Nations,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0
,Unknown country,23,12,,,,2,17,17,17,17,17,19,5,,0,2,5,14,16,17,21,4,15,3,7,3,7,1,4,23,19,41,20,4,3,6,1,3,11,38,4,8,5,19,58,22,90,26,3,2,54,22,30,,4,14,18,813
,Uruguay,,,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,7
,USA,1641,4539,6239,8977,5288,6418,7945,8033,9213,7330,5936,6464,5558,8908,11655,11078,8258,7162,8195,11365,8711,11037,9789,11887,11732,16010,13952,14090,12609,8898,9753,12572,13427,13129,11082,10331,11425,12193,11552,10916,10500,12690,14442,14612,11799,11288,10917,14252,15387,11489,7507,5813,5011,5609,6663,7092,7938,558306
,USSR,3239,3108,6148,8456,9485,6826,6981,7577,9123,8149,5934,6995,8204,6834,8596,8537,10191,11372,11789,10962,10672,11784,13744,14743,14970,10905,9856,15531,17788,18253,18349,17254,16340,13918,13770,14596,15064,13867,12775,12816,9977,5331,9,,9,9,,,,,,,,,,,,460836
,Uzbekistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,73,340,170,4,,587
,Venezuela,,,,,,,,,,,,,,,,,,,,17,,,,,,12,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,1,,5,35
,Viet Nam,,,,,,,,,,,,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
,Zambia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,2
,Zimbabwe,,,,,,,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Total,6955,10353,15150,20905,18784,19651,23314,22844,25306,20398,16379,16868,17451,19179,25160,24893,24869,25164,26340,28788,25759,32304,33371,34601,34919,36134,33079,39367,40795,38384,40567,43786,44930,41849,40146,37352,39297,39333,36046,34112,29833,27630,24109,26325,22498,22353,23612,28209,27009,23893,18241,18793,16904,19186,21646,22405,26780,
